팀이름	승리	무승부	패배	승률	홈경기성적	어웨이경기성적
삼성	20	0	15	0.571	8-0-8	12-0-7
두산	20	2	11	0.606	11-0-8	9-2-3
롯데	20	0	15	0.571	5-0-9	15-0-6
SK	17	3	14	0.500	12-1-11	5-2-3
한화	14	0	19	0.424	4-0-10	10-0-9
넥센	18	2	14	0.529	9-2-4	9-0-10
LG	19	0	16	0.543	10-0-10	9-0-6
KIA	16	1	18	0.457	12-1-8	4-0-10
NC	16	2	17	0.457	6-1-7	10-1-10
KT	7	0	28	0.200	4-0-11	3-0-17
	삼성	두산	롯데	SK	한화	넥센	LG	KIA	NC	KT	합계
삼성	x-x-x	1-0-1	3-0-4	2-0-2	2-0-2	0-0-0	2-0-3	2-0-2	4-0-1	4-0-0	20-0-15
두산	1-0-1	x-x-x	2-0-2	0-0-0	2-0-1	4-0-2	2-0-3	3-1-1	2-1-1	4-0-0	20-2-11
롯데	4-0-3	2-0-2	x-x-x	1-0-1	4-0-1	1-0-1	1-0-2	1-0-2	3-0-2	3-0-1	20-0-15
SK	2-0-2	0-0-0	1-0-1	x-x-x	1-0-3	3-2-2	1-0-1	1-0-1	2-1-2	6-0-2	17-3-14
한화	2-0-2	1-0-2	1-0-4	3-0-1	x-x-x	1-0-2	4-0-4	0-0-0	2-0-4	0-0-0	14-0-19
넥센	0-0-0	2-0-4	1-0-1	2-2-3	2-0-1	x-x-x	1-0-1	4-0-1	0-0-1	6-0-2	18-2-14
LG	3-0-2	3-0-2	2-0-1	1-0-1	4-0-4	1-0-1	x-x-x	3-0-3	2-0-1	0-0-1	19-0-16
KIA	2-0-2	1-1-3	2-0-1	1-0-1	0-0-0	1-0-4	3-0-3	x-x-x	1-0-4	5-0-0	16-1-18
NC	1-0-4	1-1-2	2-0-3	2-1-2	4-0-2	1-0-0	1-0-2	4-0-1	x-x-x	0-0-1	16-2-17
KT	0-0-4	0-0-4	1-0-3	2-0-6	0-0-0	2-0-6	1-0-0	0-0-5	1-0-0	x-x-x	7-0-28
